created_at,entry_id,field1,field2,field3,field4,field5
2018-03-02 11:02:11 UTC,62,20.40,52.00,77.00,6404.59,997.82
2018-03-02 11:02:35 UTC,63,20.62,52.00,77.00,6404.59,997.80
2018-03-02 11:02:59 UTC,64,20.67,52.00,77.00,6399.90,997.82
2018-03-02 11:03:24 UTC,65,20.66,52.00,77.00,6395.20,997.82
2018-03-02 11:03:48 UTC,66,20.67,52.00,77.00,6399.90,997.72
2018-03-02 11:04:12 UTC,67,20.90,52.00,77.00,6390.49,997.72
2018-03-02 11:04:36 UTC,68,20.96,52.00,77.00,6390.49,997.75
2018-03-02 11:05:00 UTC,69,21.04,52.00,77.00,6376.40,997.67
2018-03-02 11:05:25 UTC,70,21.00,52.00,77.00,6423.40,997.69
2018-03-02 11:05:49 UTC,71,20.96,52.00,77.00,6423.40,997.71
2018-03-02 11:06:13 UTC,72,20.97,52.00,77.00,6428.09,997.72
2018-03-02 11:06:39 UTC,73,20.80,52.00,77.00,6409.30,997.75
2018-03-02 11:07:04 UTC,74,20.91,52.00,77.00,6423.40,997.73
2018-03-02 11:07:28 UTC,75,20.93,52.00,77.00,6409.30,997.47
2018-03-02 11:07:52 UTC,76,20.84,52.00,77.00,6413.99,997.75
2018-03-02 11:08:16 UTC,77,20.93,52.00,77.00,6418.70,997.69
2018-03-02 11:08:42 UTC,78,21.03,52.00,77.00,6399.90,997.67
2018-03-02 11:09:06 UTC,79,21.14,52.00,77.00,6413.99,997.17
2018-03-02 11:09:30 UTC,80,21.13,52.00,77.00,6413.99,997.73
2018-03-02 11:09:57 UTC,81,21.17,52.00,77.00,6399.90,997.67
2018-03-02 11:10:21 UTC,82,21.13,52.00,77.00,6409.30,997.70
2018-03-02 11:10:52 UTC,83,21.09,52.00,77.00,6395.20,997.65
2018-03-02 11:11:16 UTC,84,21.11,52.00,77.00,6404.59,997.74
2018-03-02 11:11:41 UTC,85,21.03,52.00,77.00,6404.59,997.66
2018-03-02 11:12:05 UTC,86,21.12,52.00,77.00,6404.59,997.67
2018-03-02 11:12:29 UTC,87,21.17,52.00,77.00,6404.59,997.69
2018-03-02 11:12:53 UTC,88,21.25,52.00,77.00,6399.90,997.69
2018-03-02 11:13:17 UTC,89,21.24,52.00,77.00,6404.59,997.70
2018-03-02 11:13:42 UTC,90,21.24,52.00,77.00,6395.20,997.73
2018-03-02 11:14:08 UTC,91,21.25,52.00,77.00,6381.09,997.67
2018-03-02 11:14:32 UTC,92,21.25,52.00,77.00,6399.90,997.66
2018-03-02 11:14:56 UTC,93,21.27,52.00,77.00,6395.20,997.62
2018-03-02 11:15:20 UTC,94,21.28,52.00,77.00,6395.20,997.67
2018-03-02 11:15:45 UTC,95,21.28,52.00,77.00,6399.90,997.66
2018-03-02 11:16:11 UTC,96,21.28,52.00,77.00,6385.80,997.58
2018-03-02 11:16:35 UTC,97,21.34,52.00,77.00,6395.20,997.61
